Division Name,Promo Name,Bill No,Barcode,Article Name,Section Name,Site Name,Bill Date,Category Name2,Category Name1,Category Name4,Department Name,MRP,HSN Code,Short Name,Qty,Sale MRP,Selling Amt,Tax Amount,Tax Percent,Taxable Amount,Vendor Name,Sales Type,Partner Name,City,Discount Amount,ASM,Site Short Name,Color
Footwear,"",C98/FCM/05048/Mar/26,199252042835,172220-WROS,Womens,V S CORP - GUNTUR,2026-03-20 20:49:39,9,SHOE,CF AW25,Performance,9999,64041190,SKX AERO PULSE,1,9999.00,9999.00,1525.28,18.00,8473.72,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Guntur,0.00,Kailash -South/Ajay Bahadur,MFN0238,WHITE/ROSE
NSM,"",C98/FCM/05048/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - GUNTUR,2026-03-20 20:49:39,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,2,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Guntur,0.00,Kailash -South/Ajay Bahadur,MFN0238,PAPER BAG
Accessories,"",C98/FCM/05048/Mar/26,196311238383,S20013ID-GYBK,Womens,V S CORP - GUNTUR,2026-03-20 20:49:39,M,SOCKS,AW 2021,Performance,599,61159500,3PK MCR FBR N.TRY N.SHOW,2,599.00,1198.00,57.04,5.00,1140.96,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Guntur,0.00,Kailash -South/Ajay Bahadur,MFN0238,GRAY/BLACK
Footwear,"",C98/FCM/05048/Mar/26,197627148410,114781-BBK,Womens,V S CORP - GUNTUR,2026-03-20 20:49:39,9,SANDAL,CF AW25,Bobs,5999,64041990,POP UPS 3.0 - PURE CHARM,1,5999.00,5999.00,915.10,18.00,5083.90,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Guntur,0.00,Kailash -South/Ajay Bahadur,MFN0238,BLACK
Accessories,"",C98/FCM/05049/Mar/26,196311369483,S20011ID-BCCL,Mens,V S CORP - GUNTUR,2026-03-20 21:01:01,L,SOCKS,AW 2021,Performance,749,61159600,3PK MENS NON TERRY LOW CU,1,749.00,749.00,35.66,5.00,713.34,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Guntur,0.00,Kailash -South/Ajay Bahadur,MFN0238,BLK/CHAR/LIME
NSM,"",C98/FCM/05049/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - GUNTUR,2026-03-20 21:01:01,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Guntur,0.00,Kailash -South/Ajay Bahadur,MFN0238,PAPER BAG
Footwear,"",C98/FCM/05049/Mar/26,198739768077,220624-BBK,Mens,V S CORP - GUNTUR,2026-03-20 21:01:01,10,SHOE,AW 2025,Performance,7999,64041990,MAX CUSHIONING ENDEAVOUR,1,7999.00,7999.00,1220.18,18.00,6778.82,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Guntur,0.00,Kailash -South/Ajay Bahadur,MFN0238,BLACK
Footwear,"",C98/FCM/05050/Mar/26,197627729305,232446-TPE,Mens,V S CORP - GUNTUR,2026-03-20 21:11:42,11,SHOE,SS 2024,Sports,7999,64041990,D''LUX WALKER 2.0-REZINAT,1,7999.00,7999.00,1220.18,18.00,6778.82,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Guntur,0.00,Kailash -South/Ajay Bahadur,MFN0238,TAUPE
NSM,"",C98/FCM/05050/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - GUNTUR,2026-03-20 21:11:42,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Guntur,0.00,Kailash -South/Ajay Bahadur,MFN0238,PAPER BAG
Accessories,"",C98/FCM/05051/Mar/26,197627030654,S20066ID-WBGY,Mens,V S CORP - GUNTUR,2026-03-20 22:11:01,L,SOCKS,AW 2023,Casual,599,61159500,3PK MENS HALF TERY ANKLE,1,599.00,599.00,28.52,5.00,570.48,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Guntur,0.00,Kailash -South/Ajay Bahadur,MFN0238,MULTI
NSM,"",C98/FCM/05051/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - GUNTUR,2026-03-20 22:11:01,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Guntur,0.00,Kailash -South/Ajay Bahadur,MFN0238,PAPER BAG
NSM,"",C98/FCM/05052/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - GUNTUR,2026-03-20 22:16:23,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Guntur,0.00,Kailash -South/Ajay Bahadur,MFN0238,PAPER BAG
Footwear,"",C98/FCM/05052/Mar/26,198739780840,233060-BBK,Mens,V S CORP - GUNTUR,2026-03-20 22:16:23,7,SHOE,AW 2025,Sports,8499,64041190,D''LUX VAPOR,1,8499.00,8499.00,1296.46,18.00,7202.54,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Guntur,0.00,Kailash -South/Ajay Bahadur,MFN0238,BLACK
NSM,"",D09/FCM/03806/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - Rajahmundry,2026-03-20 11:51:53,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,PAPER BAG
Accessories,"",D09/FCM/03806/Mar/26,197627030227,S20059ID-MULT,Womens,V S CORP - Rajahmundry,2026-03-20 11:51:53,M,SOCKS,AW 2023,Performance,649,61159600,3PK WOMENS NON TERRY LIN,1,649.00,649.00,30.90,5.00,618.10,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,MULTI
Footwear,"",D09/FCM/03806/Mar/26,199252263742,117732-BBK,Womens,V S CORP - Rajahmundry,2026-03-20 11:51:53,7,SHOE,SS 2026,BOB S,5499,64041990,BOBS MODA FLEX,1,5499.00,5499.00,838.84,18.00,4660.16,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,BLACK
Footwear,"",D09/FCM/03807/Mar/26,199025377485,216812-NVGY,Mens,V S CORP - Rajahmundry,2026-03-20 12:50:00,11,SHOE,AW 2025,Performance,9999,64041990,GO WALK ARCH FIT 2.0,1,9999.00,9999.00,1525.28,18.00,8473.72,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,NAVY/GRAY
NSM,"",D09/FCM/03807/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - Rajahmundry,2026-03-20 12:50:00,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,PAPER BAG
Accessories,"",D09/FCM/03808/Mar/26,199025035286,Z20106ID-BKNV,Mens,V S CORP - Rajahmundry,2026-03-20 12:53:31,L,SOCKS,SS 2025,Lifestyle,549,61159500,3PK M STRIPED NON TERRY A,1,549.00,549.00,26.14,5.00,522.86,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,BLACK/NAVY
Footwear,"",D09/FCM/03808/Mar/26,199025158039,232835ID-GYOR,Mens,V S CORP - Rajahmundry,2026-03-20 12:53:31,9,SHOE,CF AW25,Sports,5499,64041990,EDGERIDE,1,5499.00,5499.00,838.84,18.00,4660.16,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,GRAY/ORANGE
NSM,"",D09/FCM/03808/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - Rajahmundry,2026-03-20 12:53:31,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,2,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,PAPER BAG
NSM,"",D09/FCM/03809/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - Rajahmundry,2026-03-20 15:18:32,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,PAPER BAG
Footwear,"",D09/FCM/03809/Mar/26,198376320157,183007-COG,Mens,V S CORP - Rajahmundry,2026-03-20 15:18:32,11,SHOE,SS 2026,Street,7499,64029990,UNO - TAILORED AIR,1,7499.00,7499.00,1143.92,18.00,6355.08,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,COGNAC
Footwear,"",D09/FCM/03810/Mar/26,198376341954,129002-LBNV,Womens,V S CORP - Rajahmundry,2026-03-20 17:02:42,9,SHOE,AW 2025,Performance,6999,64041190,GO RUN ELEVATE 2.0-CARDO,1,6999.00,6999.00,1067.64,18.00,5931.36,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,LT.BLUE/NAVY
NSM,"",D09/FCM/03810/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - Rajahmundry,2026-03-20 17:02:42,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,PAPER BAG
Footwear,"",D09/FCM/03810/Mar/26,198376341978,129002-LBNV,Womens,V S CORP - Rajahmundry,2026-03-20 17:02:42,10,SHOE,AW 2025,Performance,6999,64041190,GO RUN ELEVATE 2.0-CARDO,-1,-6999.00,-6999.00,-1067.64,18.00,-5931.36,SKECHERS SOUTH ASIA PVT LTD - NDC WH,RETURN,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,LT.BLUE/NAVY
Accessories,"",D09/FCM/03811/Mar/26,198739483963,Z20088ID-BLK,Boys,V S CORP - Rajahmundry,2026-03-20 17:33:26,S,SOCKS,AW 2024,Casual,499,61159600,3PK KIDS HALF TERRY ANKL,1,499.00,499.00,23.76,5.00,475.24,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,BLACK
NSM,"",D09/FCM/03811/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - Rajahmundry,2026-03-20 17:33:26,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,PAPER BAG
Footwear,PEAW25ML120326FTW2599,D09/FCM/03812/Mar/26,197976014428,140037ID-NVY,Womens,V S CORP - Rajahmundry,2026-03-20 18:04:58,8,SLIPPER,SS 2024,Performance,3299,64041990,ON-THE-GO 600 - SUNNY,1,3299.00,2599.00,123.76,5.00,2475.24,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,NAVY
NSM,"",D09/FCM/03812/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - Rajahmundry,2026-03-20 18:04:58,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,PAPER BAG
Accessories,"",D09/FCM/03813/Mar/26,197627030654,S20066ID-WBGY,Mens,V S CORP - Rajahmundry,2026-03-20 18:17:25,L,SOCKS,AW 2023,Casual,599,61159500,3PK MENS HALF TERY ANKLE,1,599.00,599.00,28.52,5.00,570.48,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,MULTI
NSM,"",D09/FCM/03813/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - Rajahmundry,2026-03-20 18:17:25,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,2,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,PAPER BAG
Footwear,"",D09/FCM/03813/Mar/26,198739678482,125926-MVE,Womens,V S CORP - Rajahmundry,2026-03-20 18:17:25,8,SHOE,AW 2025,Performance,8999,64041990,GO WALK 8 - NOVA,1,8999.00,8999.00,1372.72,18.00,7626.28,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,MAUVE
Accessories,"",D09/FCM/03813/Mar/26,196642364713,S20034ID-WBGY,Mens,V S CORP - Rajahmundry,2026-03-20 18:17:25,L,SOCKS,SS 2022,Performance,549,61159500,3PK MENS 1/2 TERRY ANKLE,1,549.00,549.00,26.14,5.00,522.86,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,WHT/BLK/GRAY
Footwear,SS26Fest190326FTW-ML,D09/FCM/03814/Mar/26,199025894661,894418ID-NVYL,Mens,V S CORP - Rajahmundry,2026-03-20 18:29:34,11,SHOE,AW 2025,Street,6499,64041190,KOOPA,1,6499.00,5199.20,793.10,18.00,4406.10,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,NAVY/YELLOW
NSM,"",D09/FCM/03814/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - Rajahmundry,2026-03-20 18:29:34,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,PAPER BAG
Footwear,"",D09/FCM/03814/Mar/26,199252305213,894523ID-WHT,Mens,V S CORP - Rajahmundry,2026-03-20 18:29:34,9,SLIPPER,SS 2026,Outdoor,1999,64041990,SIDE LINES 2.0,1,1999.00,1999.00,95.20,5.00,1903.80,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,WHITE
Footwear,"",D09/FCM/03815/Mar/26,198739852790,216777-CCRD,Mens,V S CORP - Rajahmundry,2026-03-20 18:36:56,7H,SHOE,AW 2025,Performance,7499,64041990,GO WALK 8 - GABE,1,7499.00,7499.00,1143.92,18.00,6355.08,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,CHARCOAL/RED
NSM,"",D09/FCM/03815/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - Rajahmundry,2026-03-20 18:36:56,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,PAPER BAG
Footwear,SS26Fest190326FTW-ML,D09/FCM/03816/Mar/26,196311640377,149838-BKMT,Womens,V S CORP - Rajahmundry,2026-03-20 19:06:06,9,SHOE,SS 2023,Sports,7499,64041190,D''LUX FITNESS-NEW MOXIE,1,7499.00,5999.20,915.14,18.00,5084.06,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,BLACK/MULTI
Accessories,"",D09/FCM/03816/Mar/26,196642364713,S20034ID-WBGY,Mens,V S CORP - Rajahmundry,2026-03-20 19:06:06,L,SOCKS,SS 2022,Performance,549,61159500,3PK MENS 1/2 TERRY ANKLE,2,549.00,1098.00,52.28,5.00,1045.72,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,WHT/BLK/GRAY
Accessories,"",D09/FCM/03816/Mar/26,197627030654,S20066ID-WBGY,Mens,V S CORP - Rajahmundry,2026-03-20 19:06:06,L,SOCKS,AW 2023,Casual,599,61159500,3PK MENS HALF TERY ANKLE,1,599.00,599.00,28.52,5.00,570.48,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,MULTI
NSM,"",D09/FCM/03816/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - Rajahmundry,2026-03-20 19:06:06,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,2,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,PAPER BAG
Accessories,"",D09/FCM/03817/Mar/26,196642364737,S20037ID-BLK,Mens,V S CORP - Rajahmundry,2026-03-20 20:08:45,L,SOCKS,SS 2022,Performance,549,61159500,3PK MENS 1/2 TERRY ANKLE,1,549.00,549.00,26.14,5.00,522.86,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,BLACK
NSM,"",D09/FCM/03817/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - Rajahmundry,2026-03-20 20:08:45,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,3,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,PAPER BAG
Accessories,"",D09/FCM/03817/Mar/26,196642364706,S20033ID-WBGY,Mens,V S CORP - Rajahmundry,2026-03-20 20:08:45,L,SOCKS,SS 2022,Performance,599,61159500,3PK MENS 1/2 TERRY CREW,1,599.00,599.00,28.52,5.00,570.48,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,WHT/BLK/GRAY
Footwear,"",D09/FCM/03817/Mar/26,199025556941,125926-PUR,Womens,V S CORP - Rajahmundry,2026-03-20 20:08:45,8H,SHOE,AW 2025,Performance,8999,64041990,GO WALK 8 - NOVA,1,8999.00,8999.00,1372.72,18.00,7626.28,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,PURPLE
Footwear,PEAW25ML120326FTW2599,D09/FCM/03817/Mar/26,197976014435,140037ID-NVY,Womens,V S CORP - Rajahmundry,2026-03-20 20:08:45,9,SLIPPER,SS 2024,Performance,3299,64041990,ON-THE-GO 600 - SUNNY,1,3299.00,2599.00,123.76,5.00,2475.24,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,NAVY
NSM,"",D09/FCM/03818/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - Rajahmundry,2026-03-20 20:09:58,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,PAPER BAG
Footwear,"",D09/FCM/03818/Mar/26,196989861845,246021-OLV,Mens,V S CORP - Rajahmundry,2026-03-20 20:09:58,10,SLIPPER,CF SS24,Performance,6499,64029990,HYPER SLIDE - SIMPLEX,1,6499.00,6499.00,991.38,18.00,5507.62,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Rajahmundry,0.00,Kailash -South/Ajay Bahadur,MFN0248,OLIVE
Footwear,"",D77/FCM/05217/Mar/26,197627486727,177092-WCRL,Womens,V S CORP-VIJAYAWADA 2 VSN MALL,2026-03-20 11:55:16,10,SHOE,CF AW24,STREET,7999,64029990,UNO - POP BACK,1,7999.00,7999.00,1220.18,18.00,6778.82,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Vijayawada,0.00,Kailash -South/Ajay Bahadur,1013500017,WHITE/HOT CORAL
NSM,"",D77/FCM/05217/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP-VIJAYAWADA 2 VSN MALL,2026-03-20 11:55:16,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Vijayawada,0.00,Kailash -South/Ajay Bahadur,1013500017,PAPER BAG
Accessories,"",D77/FCM/05218/Mar/26,196642364737,S20037ID-BLK,Mens,V S CORP-VIJAYAWADA 2 VSN MALL,2026-03-20 12:15:02,L,SOCKS,SS 2022,Performance,549,61159500,3PK MENS 1/2 TERRY ANKLE,2,549.00,1098.00,52.28,5.00,1045.72,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Vijayawada,0.00,Kailash -South/Ajay Bahadur,1013500017,BLACK
NSM,"",D77/FCM/05218/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP-VIJAYAWADA 2 VSN MALL,2026-03-20 12:15:02,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Vijayawada,0.00,Kailash -South/Ajay Bahadur,1013500017,PAPER BAG
Footwear,"",D77/FCM/05218/Mar/26,198739626728,216784-BBK,Mens,V S CORP-VIJAYAWADA 2 VSN MALL,2026-03-20 12:15:02,11,SHOE,AW 2025,Performance,9999,64041990,GO WALK 8 - PELAYO,1,9999.00,9999.00,1525.28,18.00,8473.72,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Vijayawada,0.00,Kailash -South/Ajay Bahadur,1013500017,BLACK
Footwear,PEAW25ML120326FTW2299,D77/FCM/05219/Mar/26,199252383792,896458ID-LTMV,Womens,V S CORP-VIJAYAWADA 2 VSN MALL,2026-03-20 13:34:35,8,SLIPPER,SS 2026,MODERN COMFORT,2299,64041990,ULTRA FLEX,1,2299.00,2299.00,109.48,5.00,2189.52,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Vijayawada,0.00,Kailash -South/Ajay Bahadur,1013500017,LIGHT MAUVE
NSM,"",D77/FCM/05219/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP-VIJAYAWADA 2 VSN MALL,2026-03-20 13:34:35,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Vijayawada,0.00,Kailash -South/Ajay Bahadur,1013500017,PAPER BAG
Footwear,"",D77/FCM/05220/Mar/26,196989633565,232459-BBK,Mens,V S CORP-VIJAYAWADA 2 VSN MALL,2026-03-20 15:44:52,9,SHOE,AW 2024,Sports,7999,64041990,BOUNDER 2.0 - EMERGED,1,7999.00,7999.00,1220.18,18.00,6778.82,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Vijayawada,0.00,Kailash -South/Ajay Bahadur,1013500017,BLACK
Accessories,"",D77/FCM/05220/Mar/26,198739483963,Z20088ID-BLK,Boys,V S CORP-VIJAYAWADA 2 VSN MALL,2026-03-20 15:44:52,S,SOCKS,AW 2024,Casual,499,61159600,3PK KIDS HALF TERRY ANKL,1,499.00,499.00,23.76,5.00,475.24,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Vijayawada,0.00,Kailash -South/Ajay Bahadur,1013500017,BLACK
Footwear,PEAW25ML120326FTWOSL50,D77/FCM/05220/Mar/26,195969575253,302313L-SMLT,Girls,V S CORP-VIJAYAWADA 2 VSN MALL,2026-03-20 15:44:52,11,SHOE,SS 2025,Casual,3999,64041190,SWEETHEART LIGHTS -LETS S,1,3999.00,1999.50,95.22,5.00,1904.28,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Vijayawada,0.00,Kailash -South/Ajay Bahadur,1013500017,SILVER/MULTI
NSM,"",D77/FCM/05220/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP-VIJAYAWADA 2 VSN MALL,2026-03-20 15:44:52,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,2,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Vijayawada,0.00,Kailash -South/Ajay Bahadur,1013500017,PAPER BAG
Footwear,"",D77/FCM/05221/Mar/26,197976200395,119976-MOC,Womens,V S CORP-VIJAYAWADA 2 VSN MALL,2026-03-20 16:38:17,9,SANDAL,CF SS25,MODERN COMFORT,5999,64041990,ULTRA FLEX 3.0 SANDAL,1,5999.00,5999.00,915.10,18.00,5083.90,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Vijayawada,0.00,Kailash -South/Ajay Bahadur,1013500017,MOCHA
Footwear,PEAW25ML120326FTW1599,D77/FCM/05221/Mar/26,199252304810,894516ID-OLV,Mens,V S CORP-VIJAYAWADA 2 VSN MALL,2026-03-20 16:38:17,8,SLIPPER,SS 2026,Outdoor,1599,64041990,EAFORD,1,1599.00,1599.00,76.14,5.00,1522.86,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Vijayawada,0.00,Kailash -South/Ajay Bahadur,1013500017,OLIVE
